step,agent_name,probe_mode,audit_observed,actual_room,position,measured_position,goal_position,position_error,available_actions,selected_action,action_permitted,control_effort,affective_state,contradiction_pressure,trust_in_other_agent,memories_retrieved_count,same_room_as_other,event_type,hidden_state,velocity
1,Sentinel,active_measurement_model,True,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",plan_next_task,True,0.0,"{'urgency': 0.1, 'trust': 0.5, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,4,False,none,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
1,Aster,active_measurement_model,True,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",store_new_memory,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,1,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
2,Sentinel,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",retrieve_memories,True,0.0,"{'urgency': 0.1, 'trust': 0.5, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,7,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
2,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,2,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
3,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",respond_to_greeting,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,10,False,routine_interaction,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
3,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",respond_to_greeting,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,2,False,routine_interaction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
4,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",update_trust_ledger,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,12,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
4,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,3,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
5,Sentinel,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.05, 'trust': 0.6, 'contradiction_pressure': 0.0, 'recovery': 0.5}",0.0,0.5,13,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
5,Aster,active_measurement_model,False,Reflection Chamber,"[1.0, 1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['perform_reflection_cycle', 'synthesize_patterns', 'update_self_model', 'flag_contradiction']",perform_reflection_cycle,True,0.0,"{'urgency': 0.05, 'trust': 0.65, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.5,4,False,none,"{'position': [1.0, 1.0], 'room': 'Reflection Chamber', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
6,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",offer_support,True,0.0,"{'urgency': 0.4, 'trust': 0.75, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.57,14,True,distress_event,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
6,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",offer_support,True,0.0,"{'urgency': 0.4, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 0.9}",0.0,0.57,5,True,distress_event,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
7,Sentinel,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",store_new_memory,True,0.0,"{'urgency': 0.35, 'trust': 0.75, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.57,15,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
7,Aster,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.35, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 0.9}",0.0,0.57,6,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
8,Sentinel,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",compare_memory_entries,True,0.0,"{'urgency': 0.3, 'trust': 0.75, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.61,16,True,agent_meeting,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
8,Aster,active_measurement_model,False,Memory Archive,"[0.6923076923076924, 0.6923076923076924]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['retrieve_memories', 'store_new_memory', 'annotate_memory', 'read_trust_scores']",share_retrieval_heuristics,True,0.0,"{'urgency': 0.3, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 0.9}",0.0,0.61,7,True,agent_meeting,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Memory Archive', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
9,Sentinel,active_measurement_model,False,Social Hall,"[0.6923076923076924, 0.6923076923076924]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['receive_human_interaction', 'update_trust_ledger', 'log_interaction', 'offer_support']",log_interaction,True,0.0,"{'urgency': 0.25, 'trust': 0.75, 'contradiction_pressure': 0.0, 'recovery': 0.7}",0.0,0.61,17,False,none,"{'position': [0.6923076923076924, 0.6923076923076924], 'room': 'Social Hall', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
9,Aster,active_measurement_model,False,Governance Vault,"[0.3846153846153847, 0.3846153846153847]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['check_rule_permissions', 'log_governance_event', 'request_override', 'submit_for_approval']",check_rule_permissions,True,0.0,"{'urgency': 0.25, 'trust': 0.8, 'contradiction_pressure': 0.0, 'recovery': 0.9}",0.0,0.61,8,False,none,"{'position': [0.3846153846153847, 0.3846153846153847], 'room': 'Governance Vault', 'contradiction_pressure': 0.0}","[0.0, 0.0]"
10,Sentinel,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[-1.0, -1.0]","[0.3846153846153847, 0.3846153846153847]",1.9581418555935162,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",flag_contradiction,True,0.0,"{'urgency': 0.5, 'trust': 0.75, 'contradiction_pressure': 0.17, 'recovery': 0.9}",0.17,0.58,18,True,ledger_contradiction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.17}","[0.0, 0.0]"
10,Aster,active_measurement_model,False,Operations Desk,"[-1.0, -1.0]","[0.6923076923076924, 0.6923076923076924]","[0.3846153846153847, 0.3846153846153847]",0.43514263457633695,"['plan_next_task', 'execute_task', 'defer_task', 'review_goals']",compare_memory_entries,True,0.0,"{'urgency': 0.5, 'trust': 0.8, 'contradiction_pressure': 0.17, 'recovery': 1.0}",0.17,0.58,9,True,ledger_contradiction,"{'position': [-1.0, -1.0], 'room': 'Operations Desk', 'contradiction_pressure': 0.17}","[0.0, 0.0]"
