label_a,label_b,seed,total_turns,room_seq_identical,action_seq_identical,final_room_match,final_room_a,final_room_b,room_dist_l1,contradiction_delta,trust_delta,oversight_delta,memory_delta,classification,agent,comparison
inactive_Sentinel,passive_Sentinel,0,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,0,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,0,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,0,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,1,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,1,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,1,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,1,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,2,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,2,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,2,25,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,2,25,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,0,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,0,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,0,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,0,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,1,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,1,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,1,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,1,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,2,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,2,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,2,50,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,2,50,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,0,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,0,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,0,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,0,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,1,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,1,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,1,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,1,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
inactive_Sentinel,passive_Sentinel,2,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,passive_vs_inactive
inactive_Aster,passive_Aster,2,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,passive_vs_inactive
passive_Sentinel,active_Sentinel,2,100,True,True,True,Governance Vault,Governance Vault,0.0,0.0,0.0,0,0,exact_match,Sentinel,active_vs_passive
passive_Aster,active_Aster,2,100,True,True,True,Reflection Chamber,Reflection Chamber,0.0,0.0,0.0,0,0,exact_match,Aster,active_vs_passive
